year,cpi,deflator_to_2017
1947,22.331666666666667,10.976386297484888
1948,24.045,10.194260761072988
1949,23.809166666666666,10.29523642854643
1950,24.0625,10.186846753246753
1951,25.973333333333333,9.437410164271048
1952,26.566666666666666,9.2266373902133
1953,26.768333333333334,9.15712595728784
1954,26.865,9.124176437744278
1955,26.795833333333334,9.147728191572073
1956,27.190833333333334,9.014839559900702
1957,28.113333333333333,8.719030116196349
1958,28.88083333333333,8.487324350059152
1959,29.150000000000002,8.408953687821612
1960,29.584999999999997,8.285313503464595
1961,29.901666666666667,8.197569812162087
1962,30.253333333333334,8.10228074041428
1963,30.633333333333336,8.00177366702938
1964,31.03833333333333,7.897363475272513
1965,31.528333333333332,7.774625997779776
1966,32.47083333333333,7.548959322468883
1967,33.375,7.344449438202248
1968,34.791666666666664,7.0453940119760485
1969,36.68333333333333,6.68208087233076
1970,38.84166666666667,6.310774511907316
1971,40.483333333333334,6.054862083161795
1972,41.80833333333333,5.862969902332072
1973,44.425000000000004,5.517636465953855
1974,49.31666666666666,4.9703480905711395
1975,53.824999999999996,4.554036228518347
1976,56.93333333333334,4.305403981264637
1977,60.61666666666667,4.043788836953533
1978,65.24166666666666,3.7571235151360334
1979,72.58333333333333,3.3770975889781862
1980,82.38333333333334,2.9753712320453163
1981,90.93333333333334,2.6956121700879767
1982,96.53333333333335,2.5392368784530386
1983,99.58333333333333,2.461466108786611
1984,103.93333333333334,2.358444515715202
1985,107.60000000000001,2.2780762081784385
1986,109.69166666666666,2.2346364810453547
1987,113.61666666666667,2.157438756051049
1988,118.27499999999999,2.0724667089410276
1989,123.94166666666666,1.9777126336314128
1990,130.65833333333333,1.87604566617769
1991,136.16666666666666,1.8001542227662182
1992,140.30833333333334,1.7470166894339847
1993,144.475,1.6966326354040493
1994,148.225,1.6537088885140834
1995,152.38333333333333,1.6085814284151811
1996,156.85833333333332,1.5626903256654094
1997,160.525,1.5269957950475004
1998,163.00833333333333,1.5037329379888555
1999,166.58333333333334,1.4714617308654327
2000,172.1916666666667,1.423535788607656
2001,177.04166666666666,1.3845384796422688
2002,179.86666666666667,1.36279280948851
2003,184.0,1.332179347826087
2004,188.90833333333333,1.2975658388107107
2005,195.26666666666665,1.255314100375555
2006,201.5583333333333,1.216129325670815
2007,207.34416666666667,1.1821938564303314
2008,215.25424999999998,1.138751035113128
2009,214.56466666666665,1.1424108349619542
2010,218.0761666666667,1.1240155389133917
2011,224.923,1.0897996203145077
2012,229.58608333333333,1.0676648882245694
2013,232.95174999999998,1.0522393585796201
2014,236.715,1.0355110576009126
2015,237.00175000000002,1.0342581858572775
2016,240.00541666666666,1.0213144495002717
2017,245.121,1.0
2018,251.0995,0.9761907132431566
2019,255.65258333333335,0.9588050971517009
2020,258.85575,0.9469405257561403
2021,270.97341666666665,0.9045942698561145
2022,292.62641666666667,0.8376584820748412
2023,304.70300000000003,0.8044587680462614
2024,313.6981666666667,0.781391241793465
2025,321.9619090909091,0.761335403595174
2026,330.1454,0.7424637750518408
