lr_r2,lr_pinball,genre_r2,genre_pinball,val_year,n_val
0.6819,0.5566,0.0232,0.8579,1996,101
0.6064,0.6206,0.0218,0.9604,1997,114
0.6903,0.5122,0.0187,0.8938,1998,118
0.5843,0.6004,0.0577,0.928,1999,137
0.7367,0.4961,0.0498,0.876,2000,134
0.7262,0.4969,0.0305,0.8559,2001,146
0.6545,0.5271,0.0871,0.7802,2002,159
0.5881,0.6012,0.0537,0.911,2003,140
0.1912,0.6157,0.0874,0.7464,2004,173
0.3218,0.5954,0.075,0.7834,2005,188
0.6082,0.5793,0.0253,0.8762,2006,217
0.3747,0.6746,0.0404,0.9338,2007,199
0.4647,0.5871,0.0886,0.8006,2008,208
0.6501,0.5739,0.0415,0.9051,2009,216
0.5684,0.6136,0.0922,0.9099,2010,234
0.5057,0.7231,0.0777,0.9867,2011,239
0.3144,0.7444,0.0749,1.0021,2012,209
0.4381,0.67,0.0759,0.9002,2013,227
0.5106,0.7188,0.079,1.019,2014,214
0.5409,0.6594,0.1273,0.8902,2015,211
