test_year,n_calib,n_test,Q,q_level,pinball_p50,cov_raw,cov_cqr,width_raw,width_cqr
1997,101,114,0.3922,0.8119,0.6818,0.728,0.816,4.6852,5.4696
1998,114,118,0.6938,0.807,0.5514,0.686,0.907,3.614,5.0016
1999,118,137,0.4435,0.8136,0.6464,0.584,0.745,2.972,3.8591
2000,137,134,0.6874,0.8102,0.5575,0.56,0.881,2.3279,3.7027
2001,134,146,0.3505,0.806,0.4946,0.623,0.76,2.2963,2.9973
2002,146,159,0.5333,0.8082,0.52,0.604,0.83,2.3449,3.4115
2003,159,140,0.4841,0.805,0.595,0.564,0.757,2.0851,3.0533
2004,140,173,0.5917,0.8071,0.6433,0.543,0.803,2.1289,3.3123
2005,173,188,0.6507,0.8092,0.595,0.527,0.814,1.934,3.2353
2006,188,217,0.5394,0.8085,0.5555,0.576,0.802,2.1499,3.2288
2007,217,199,0.5563,0.8065,0.6241,0.613,0.799,2.3483,3.4609
2008,199,208,0.5079,0.804,0.5485,0.553,0.822,2.1024,3.1181
2009,208,216,0.4772,0.8077,0.5345,0.56,0.801,2.1853,3.1397
2010,216,234,0.4718,0.8056,0.5421,0.577,0.786,2.2672,3.2108
2011,234,239,0.5176,0.8034,0.6552,0.536,0.741,2.3885,3.4237
2012,239,209,0.7312,0.8033,0.7108,0.522,0.809,2.4502,3.9127
2013,209,227,0.6515,0.8038,0.6062,0.617,0.841,2.4935,3.7966
2014,227,214,0.5044,0.8062,0.64,0.579,0.804,2.7041,3.7129
2015,214,211,0.5689,0.8037,0.5945,0.569,0.801,2.6124,3.7501
