val_year,n_val,pinball_p50,coverage_p10_p90
1996,101,0.6597,0.7327
1997,114,0.6604,0.5526
1998,118,0.5233,0.6356
1999,137,0.6382,0.5474
2000,134,0.532,0.5821
2001,146,0.4824,0.6233
2002,159,0.5094,0.5786
2003,140,0.5673,0.5643
2004,173,0.6112,0.5202
2005,188,0.5712,0.5319
2006,217,0.5607,0.5945
2007,199,0.6203,0.6281
2008,208,0.5505,0.5769
2009,216,0.5295,0.5926
2010,234,0.5402,0.5855
2011,239,0.6675,0.5481
2012,209,0.7057,0.5215
2013,227,0.5929,0.6211
2014,214,0.6551,0.5981
2015,211,0.5925,0.5782
